v,"Beclabito, New Mexico",Mx4rv33BppwpEbGdrcN5Y29ycA,Village
i,Filey,Mx4rv33BppwpEbGdrcN5Y29ycA,Village
v,Guimarei,Mx4rv33BppwpEbGdrcN5Y29ycA,Village
i,South Darfur,Mx4rv33BppwpEbGdrcN5Y29ycA,Village
i,McCormick Theological Seminary,Mx4rvVjjvpwpEbGdrcN5Y29ycA,University
i,"Mechanicsburg, West Virginia",Mx4rv33BppwpEbGdrcN5Y29ycA,Village
i,"Lillis, Kansas",Mx4rv33BppwpEbGdrcN5Y29ycA,Village
i,"David, Kentucky",Mx4rv33BppwpEbGdrcN5Y29ycA,Village
v,Rowing at the 1908 Summer Olympics – Men's single sculls,Mx4rvViPO5wpEbGdrcN5Y29ycA,SocialOccurrence
v,High Fläming Nature Park,Mx4rb8dMNgnoEdqAAAACs0x8nw,WildlifeReserve
v,King of Thorn,Mx4rv-znjZwpEbGdrcN5Y29ycA,Manga
v,Superman (TV series),Mx4rvnewlpwpEbGdrcN5Y29ycA,TVShow-CW
i,"Green Run, Virginia",Mx4rv33BppwpEbGdrcN5Y29ycA,Village
v,Manukau Institute of Technology,Mx4rvVjjvpwpEbGdrcN5Y29ycA,University
i,"Highbury, South Australia",Mx4rv33BppwpEbGdrcN5Y29ycA,Village
v,"Long Branch Township, Saline County, Illinois",Mx4rv33BppwpEbGdrcN5Y29ycA,Village
i,Sikhism in Australia,Mx4rvVjcrpwpEbGdrcN5Y29ycA,PersonTypeByEthnicity
i,"Mariah Hill, Indiana",Mx4rv33BppwpEbGdrcN5Y29ycA,Village
i,The Week (Indian magazine),Mx8Ngh4rvc4rXZwpEbGdrcN5Y29ycB4rwIgEYZwpEbGdrcN5Y29ycA,"[:HardcopyOfInformationTypeFn, :MagazineIssue]"
i,El Espavé,Mx4rv33BppwpEbGdrcN5Y29ycA,Village
v,Melmalayanur,Mx4rvuXm9JwpEbGdrcN5Y29ycA,Town
v,"Tabuan-Lasa, Basilan",Mx4rv33BppwpEbGdrcN5Y29ycA,Village
i,"Sunfish, Kentucky",Mx4rv33BppwpEbGdrcN5Y29ycA,Village
v,"Juan S. Alano Memorial Hospital, Inc.",Mx4rvVjptJwpEbGdrcN5Y29ycA,HospitalBuilding
v,Vera Cruz do Oeste,Mx4rvuXm9JwpEbGdrcN5Y29ycA,Town
i,"Edward Denny, 1st Earl of Norwich",Mx4rVmCKvtmJQdeMp5jGuFvrWg,AristocratTypeByTitle
i,St. Mary's College of Engineering and Technology,Mx4rvVjjvpwpEbGdrcN5Y29ycA,University
v,Bladen Nature Reserve,Mx4rb8dMNgnoEdqAAAACs0x8nw,WildlifeReserve
i,Mason and Oceana Railroad,Mx4rvVjVT5wpEbGdrcN5Y29ycA,Organization
i,Magala-Cad District,Mx4rv33BppwpEbGdrcN5Y29ycA,Village
v,Open House (American Horror Story),Mx4rv6PpTpwpEbGdrcN5Y29ycA,TVShow-SingleCW
v,Nepalis in the Netherlands,Mx4rvVjcrpwpEbGdrcN5Y29ycA,PersonTypeByEthnicity
i,Piskivka,Mx4rv33BppwpEbGdrcN5Y29ycA,Village
i,"Yamacraw, Kentucky",Mx4rv33BppwpEbGdrcN5Y29ycA,Village
i,Ramkan Rural District,Mx4rv33BppwpEbGdrcN5Y29ycA,Village
i,Barbara of Brandenburg (1423–1481),Mx4rVmCKvtmJQdeMp5jGuFvrWg,AristocratTypeByTitle
v,Stanz bei Landeck,Mx4rv33BppwpEbGdrcN5Y29ycA,Village
v,Born auf dem Darß,Mx4rv33BppwpEbGdrcN5Y29ycA,Village
v,Arleux,Mx4rv33BppwpEbGdrcN5Y29ycA,Village
