v,Rio Grande Games,Mx4rvViKZJwpEbGdrcN5Y29ycA,PublishingCompany
i,Marquis reagent,Mx4rwDDErJwpEbGdrcN5Y29ycA,SpecifiedTest-CW
v,Sodium nitrite,Mx4rZBlE-I4ZQdiKV-E2YrcatA,EfficaciousSubstanceTypeByComposition
i,Draft (politics),Mx4rwQrmEZwpEbGdrcN5Y29ycA,Election
i,Mac McDonald,Mx4rSyH0jhJbEd2AAADggVfs8g,Person-3050
v,"Asashina, Nagano",Mx4r06ySZMcYEdmAAAACs6hRjg,Municipality
i,Siobhan Creaton,Mx4rSyH0jhJbEd2AAADggVfs8g,Person-3050
i,Liscard,Mx4rvVidpZwpEbGdrcN5Y29ycA,ConstructionArtifact
i,Tim Bausher,Mx4rSyH0jhJbEd2AAADggVfs8g,Person-3050
i,DFW Tornados,Mx4rFNOiCMvnEdaAAAACs0uFOQ,AdministrativeDepartment
i,Night Ride Home,Mx4rwQiJXpwpEbGdrcN5Y29ycA,Album-IBO
i,Share My World,Mx4rwQiJXpwpEbGdrcN5Y29ycA,Album-IBO
i,Davy Larmour,Mx4rSyH0jhJbEd2AAADggVfs8g,Person-3050
i,Espers (band),Mx4rQjPWFMh5EdmAAAACs6hRjg,Institution
i,Robert Cohen (writer),Mx4rSyH0jhJbEd2AAADggVfs8g,Person-3050
i,Administrative divisions of Tomsk Oblast,Mx4rbFoHaMb1EdmAAAACs6hRjg,AdministrativeDistrict
i,Bruce Swedien,Mx4rwMcZI5wpEbGdrcN5Y29ycA,Artist
i,Earl Winfield,Mx4rSyH0jhJbEd2AAADggVfs8g,Person-3050
i,Peter Eastman (software engineer),Mx4rSyH0jhJbEd2AAADggVfs8g,Person-3050
i,Richard Cecil (courtier),Mx4rSyH0jhJbEd2AAADggVfs8g,Person-3050
i,Pekka Sammallahti,Mx4rSyH0jhJbEd2AAADggVfs8g,Person-3050
i,Ray Krebbs,Mx4rwPzQ6pwpEbGdrcN5Y29ycA,BusinessPerson
i,1st century BC in poetry,Mx4rvVjyV5wpEbGdrcN5Y29ycA,CalendarYear
v,Shocks and discontinuities (magnetohydrodynamics),Mx4r0o17spBYQdeYc40ztWs-AQ,ShockWave
i,Hiroki Iikura,Mx4rSyH0jhJbEd2AAADggVfs8g,Person-3050
v,Pennsylvania Route 160,Mx4rvVjVYZwpEbGdrcN5Y29ycA,Highway
v,Biurists,Mx4ricIx-Bk3QdifDqwFbZVelw,Scholar
i,G. F. Newman,Mx4rR-GpAisyEdiaugAH6RYvVQ,Producer
v,Charlie Hoag,Mx4rvVjtBpwpEbGdrcN5Y29ycA,FootballPlayer-American
i,M.L. Liebler,Mx4rSyH0jhJbEd2AAADggVfs8g,Person-3050
v,ASTM F 1915,Mx4rtiEkBizjQdicSd6q-NEThQ,Criterion
v,JimJam,Mx4rwQCRppwpEbGdrcN5Y29ycA,TelevisionStation
v,Myiagros,Mx4rvVjrCJwpEbGdrcN5Y29ycA,God
i,Drum key,Mx4rvViS45wpEbGdrcN5Y29ycA,PercussionInstrument
i,Thank God for Believers,Mx4rwQiJXpwpEbGdrcN5Y29ycA,Album-IBO
v,Luzia Woman,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
i,Suranga Chandratillake,Mx4rSyH0jhJbEd2AAADggVfs8g,Person-3050
i,Council for German Orthography,Mx4rvVj7KJwpEbGdrcN5Y29ycA,Building
i,"William Willard Gibson, Jr.",Mx4rSyH0jhJbEd2AAADggVfs8g,Person-3050
i,Kristiina Brask,Mx4rSyH0jhJbEd2AAADggVfs8g,Person-3050
v,Eyeglass Cirque,Mx4rvVjORZwpEbGdrcN5Y29ycA,TopographicalFeature
i,Tacoma Opera,Mx4rvVij7ZwpEbGdrcN5Y29ycA,MusicPerformanceOrganization
i,Rich Fownes,Mx4rSyH0jhJbEd2AAADggVfs8g,Person-3050
v,Marina Timofeieva,Mx4rvVjgjJwpEbGdrcN5Y29ycA,Dancer-Performer
i,Haydenville Historic District,Mx4rv33BppwpEbGdrcN5Y29ycA,Village
i,Gregory Doran,Mx4rSyH0jhJbEd2AAADggVfs8g,Person-3050
v,Purse hook,Mx4rvVjO5JwpEbGdrcN5Y29ycA,ClothingAccessory
v,Dogville Comedies,Mx4rwBoeX5wpEbGdrcN5Y29ycA,ComedyMovie
i,Prince Mikhail Cantacuzène,Mx4rSyH0jhJbEd2AAADggVfs8g,Person-3050
v,Paracetopsis esmeraldas,Mx4rvVjfU5wpEbGdrcN5Y29ycA,Fish
v,Johan van Scharphuizen,Mx4rvfxNJZwpEbGdrcN5Y29ycA,StateGovernor
i,Aravana,Mx4rvViGr5wpEbGdrcN5Y29ycA,Dancing
i,Akin Düzakin,Mx4rGjGfXF6OQdmPddsPwm3wxw,Publisher-Occupation
i,Ted Chabasinski,Mx4rSyH0jhJbEd2AAADggVfs8g,Person-3050
i,Julie Curwin,Mx4rSyH0jhJbEd2AAADggVfs8g,Person-3050
i,Belgian Eifel,Mx4rvVkKUJwpEbGdrcN5Y29ycA,Volcano
i,Petra Santy,Mx4rSyH0jhJbEd2AAADggVfs8g,Person-3050
i,Damien Le Tallec,Mx4rSyH0jhJbEd2AAADggVfs8g,Person-3050
i,Mambas Noirs FC,Mx4rvbgsJ5wpEbGdrcN5Y29ycA,Club-TheSuit
i,Eytan Mirsky,Mx4rSyH0jhJbEd2AAADggVfs8g,Person-3050
i,John McReady,Mx4rSyH0jhJbEd2AAADggVfs8g,Person-3050
i,Anthony McCormack,Mx4rSyH0jhJbEd2AAADggVfs8g,Person-3050
v,Game One,Mx4rwQCRppwpEbGdrcN5Y29ycA,TelevisionStation
v,Jhumur,Mx4rdUzR9nSwEdaAAACgyZzFrg,ObjectTypeByStyle
i,2011 Utah State Aggies football team,Mx4reRavYrKQEd2AAAAhm0jtOQ,FootballSeason
i,Beijing People's Art Theatre,Mx4rvViwqZwpEbGdrcN5Y29ycA,MovieTheaterSpace
i,Rob Heeney,Mx4rvVj5IZwpEbGdrcN5Y29ycA,TennisPlayer
i,Juan Pablo Gómez,Mx4rSyH0jhJbEd2AAADggVfs8g,Person-3050
i,Liliane Klapisch,Mx4rSyH0jhJbEd2AAADggVfs8g,Person-3050
i,M. K. Ashok,Mx4rSyH0jhJbEd2AAADggVfs8g,Person-3050
v,"Fourth Church of Christ, Scientist (New York City)",Mx4r8xiK9h5sQdecO7LzXLQRKw,Synagogue-Building
i,Terry Cryer,Mx4rSyH0jhJbEd2AAADggVfs8g,Person-3050
i,Gorōyama kofun,Mx4r3lfHEp9UQdedLbKZHHn2tg,HistoryMuseum-Organization
v,Hesp,Mx4rv2Wq-ZwpEbGdrcN5Y29ycA,HumanSurname
v,Bernard Callinan,Mx8NhB4rvcD6KJwpEbGdrcN5Y29ycB4rvViknpwpEbGdrcN5Y29ycB4rvVipeZwpEbGdrcN5Y29ycB4rvV50MZwpEbGdrcN5Y29ycA,"[:SubcollectionOfWithRelationFromTypeFn, :SocialBeing, :toPossessor, :ChangeInUserRights]"
v,Who Killed Lamb?,Mx4rv973YpwpEbGdrcN5Y29ycA,Movie-CW
i,Heribert Faßbender,Mx4rSyH0jhJbEd2AAADggVfs8g,Person-3050
i,Justin Ernest,Mx4rSyH0jhJbEd2AAADggVfs8g,Person-3050
v,Bit Agusi,Mx4rvVjk55wpEbGdrcN5Y29ycA,IndependentCountry
i,1993 alleged Turkish military coup,Mx4rvx3ucJwpEbGdrcN5Y29ycA,Politics
i,Haylie Wagner,Mx4rSyH0jhJbEd2AAADggVfs8g,Person-3050
i,Rolando Barra,Mx4rSyH0jhJbEd2AAADggVfs8g,Person-3050
